"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2021","2.4346","2.4819","2.5126","2.4223","42.82K","-2.08%"
"05/10/2021","2.4863","2.4308","2.4950","2.4256","54.18K","2.30%"
"04/10/2021","2.4303","2.3796","2.4449","2.3589","39.58K","2.31%"
"01/10/2021","2.3755","2.3371","2.3798","2.3157","36.01K","1.58%"
"30/09/2021","2.3385","2.3111","2.3662","2.2843","74.98K","1.47%"
"29/09/2021","2.3047","2.2709","2.3149","2.2503","62.12K","0.82%"
"28/09/2021","2.2860","2.2901","2.3297","2.2624","72.95K","-0.31%"
"27/09/2021","2.2931","2.2656","2.3099","2.2650","76.94K","1.26%"
"24/09/2021","2.2646","2.2430","2.2680","2.2292","60.58K","0.81%"
"23/09/2021","2.2464","2.2034","2.2485","2.1884","59.42K","1.71%"
"22/09/2021","2.2087","2.1769","2.2114","2.1723","66.86K","1.74%"
"21/09/2021","2.1710","2.1656","2.1922","2.1411","46.86K","0.69%"
"20/09/2021","2.1561","2.2079","2.2097","2.1457","68.02K","-2.28%"
"17/09/2021","2.2064","2.1890","2.2160","2.1890","51.38K","-0.12%"
"16/09/2021","2.2090","2.2019","2.2141","2.1725","43.17K","0.25%"
"15/09/2021","2.2035","2.1630","2.2225","2.1623","42.68K","2.06%"
"14/09/2021","2.1591","2.1612","2.1734","2.1430","44.92K","0.12%"
"13/09/2021","2.1566","2.1360","2.1708","2.1360","29.76K","0.61%"
"10/09/2021","2.1436","2.1067","2.1524","2.0992","28.34K","1.55%"
"09/09/2021","2.1109","2.1325","2.1439","2.0892","37.95K","-1.07%"
"08/09/2021","2.1337","2.1184","2.1486","2.1167","51.33K","0.78%"
"07/09/2021","2.1172","2.1547","2.1547","2.1058","31.94K","-1.11%"
"06/09/2021","2.1410","2.1430","2.1586","2.1275","","-0.12%"
"05/09/2021","2.1436","2.1567","2.1572","2.1436","","-0.47%"
"03/09/2021","2.1538","2.1585","2.1786","2.1447","20.63K","-0.42%"
"02/09/2021","2.1629","2.1169","2.1780","2.1063","29.76K","1.83%"
"01/09/2021","2.1240","2.1277","2.1441","2.0854","32.82K","-0.29%"
"31/08/2021","2.1302","2.1376","2.1423","2.1043","63.25K","-0.36%"
"30/08/2021","2.1378","2.1296","2.1569","2.0979","87.07K","1.46%"
"27/08/2021","2.1070","2.0755","2.1152","2.0685","61.02K","1.24%"
"26/08/2021","2.0811","2.1108","2.1194","2.0697","89.16K","-1.75%"
"25/08/2021","2.1181","2.0694","2.1214","2.0548","89.00K","2.35%"
"24/08/2021","2.0694","2.0053","2.0735","2.0018","78.59K","3.05%"
"23/08/2021","2.0082","1.8988","2.0157","1.8976","79.21K","5.14%"
"20/08/2021","1.9100","1.9661","1.9734","1.8971","68.27K","-3.11%"
"19/08/2021","1.9714","2.0031","2.0108","1.9465","65.10K","-2.63%"
"18/08/2021","2.0246","2.0381","2.0639","2.0013","47.04K","-0.72%"
"17/08/2021","2.0392","2.0583","2.0682","2.0333","31.77K","-0.58%"
"16/08/2021","2.0511","2.0678","2.0794","2.0195","30.65K","-1.40%"
"13/08/2021","2.0803","2.1027","2.1101","2.0665","33.03K","-1.26%"
"12/08/2021","2.1068","2.1141","2.1157","2.0810","32.05K","-0.12%"
"11/08/2021","2.1093","2.0922","2.1154","2.0487","37.14K","1.26%"
"10/08/2021","2.0830","2.0510","2.0980","2.0413","32.47K","1.84%"
"09/08/2021","2.0453","2.0694","2.0694","2.0097","32.19K","-2.05%"
"06/08/2021","2.0881","2.1060","2.1287","2.0785","27.60K","-0.98%"
